,0
0,DOVE SH/CO/CP Reconstrução Completa
1,DOVE SH/CO Regeneração Extrema
2,"DOVE SH/CO/CP 
Oleo Nutrição"
3,DOVE SH/CO Queda Control
4,DOVE SH/CO/CP Ultra Cachos
5,DOVE SH/CO Ritual Detox
6,DOVE SH/CO Ritual Reparação
7,DOVE SH/CO Ritual Crescimento
8,DOVE SH/CO Hidra-Lisos
9,DOVE SH/CO Óleo Micelar
10,DOVE SH/CO Hidratação Intensa
11,DOVE SH/CO Vita Força
12,DOVE SH/CO Cuida e Protege 
13,"DOVE SUPER CO Super CO
NF 50"
14,"DOVE SUPER CO Super CO
NF 60"
15,"DOVE SUPER CO Super CO
NF 80"
16,"DOVE CT Mascara
NF 50+"
17,"DOVE CT Mascara
NF 60+"
18,"DOVE CT Mascara
NF 80+"
19,DOVE CP Day 2 -Creme Pentear Nutre e Modela
20,DOVE SPRAY Day 2- Spray Revitalizador
21,DOVE SH SECO Day 2-  Shampoo a Seco
22,"DOVE SH Limpeza Refrescante
Men "
23,"DOVE SH Alivio Refrescante
Men"
24,"DOVE SH Anticaspa
Men"
25,"DOVE SH Força Resistente
Men"
26,"TSM GELEIA Geleia
Define"
27,"TSM SH SECO Day 2- Shampoo a Seco
Original"
28,"TSM SH SECO Day 2- Shampoo a Seco
2 EM 1"
29,TSM SPRAY Day 2- Spray Revitalizador
30,CLEAR SH/CO Hidratação Intensa
31,CLEAR SH Flor de Cerejeira
32,"CLEAR SH 
Limpeza Hidratante"
33,CLEAR SH Detox Diario
34,CLEAR SH Detox Antipoluiçaõ
35,CLEAR SH Antibac
36,CLEAR SH Ice Cool Menthol
37,"CLEAR SH Limpeza Diaria
2 em 1"
38,CLEAR SH Controle e Alivio da Coceira
39,CLEAR SH Queda Control
40,CLEAR SH Limpeza Profunda
41,SUAVE SH/CO Mel e Óleo de Amêndoa
42,SUAVE SH/CO Óleo de Coco e  Abacate
43,SUAVE SH/CO Babosa e Pepino
44,TSM PERF SH/CO Nano Regeneração
45,TSM PERF SH/CO Hidratação Absoluta
46,TSM PERF SH/CO Terapia Detox
47,"SEDA SH/CO/CP 
Ceramidas "
48,SEDA SH/CO/CP Cachos Definidos
49,SEDA SH/CO/CP Liso Perfeito
50,"SEDA SH/CO 
Liso Extremo "
51,SEDA SH/CO/CP Crescimento Saudavel 
52,SEDA SH/CO/CP Pretos Luminosos
53,SEDA SH/CO/CP Oleo Hidratação
54,SEDA SH/CO Recuperação Instantanea
55,SEDA SH Hidratação Diaria
56,SEDA SH/CO/CP Antinos
57,SEDA SH/CO Mel Antiquebra
58,SEDA SH/CO Bomba Nutrição
59,SEDA SH/CO Bomba Argan
60,SEDA SH/CO Bomba Coco
61,SEDA SH/CO Bambu e Biotina
62,SEDA SH Pureza Detox
63,SEDA SH/CO/CP Babosa +Oleos
64,SEDA SH/CO Micelar (Niina)
65,SEDA SH/CO Ondas Antifrizz
66,"SEDA SH/ SUPER CO /CT SH/SuperCO/Mask
Pós Danos"
67,SEDA SH/CO Crespoforce
68,SEDA CP Crespoforce
69,SEDA SUPER CO SuperCo Recuperação Intensiva
70,"SEDA SUPER CO SuperCo
Hidratação Maxima"
71,SEDA SH Boom Liberado
72,"SEDA CL/ CW Cr Limpeza
Boom Liberado - Co -Wash"
73,SEDA CP Boom Definição
74,SEDA CP Boom Volumão
75,SEDA CP Boom Transição
76,SEDA CP Apaixonadas por Ondas
77,SEDA CP Apaixonadas por Cachos
78,SEDA CP Apaixonadas por Crespos
79,SEDA CP Apaixonadas por Crespissimos
80,SEDA CP Apaixonadas por (Des) Coloridos
81,"SEDA SPRAY Spray
Boom Day After"
82,SEDA OLEO Boom Oleo em Gel
83,SEDA CT Mask Boom Hidrata 
84,"SEDA CT Mask
Boom  Nutre"
85,"SEDA CT Mask
Boom Restaura"
86,LBP SH/CO/CT Rosas
87,LBP CW Rosas
88,LBP CC Rosas
89,LBP SH/CO/CT Lavanda
90,LBP SH/CO/CT Ylang Ylang
91,LBP CC Ylang Ylang
92,LBP SH/CO Vetiver
93,Nexxus SH/CO/CT Nutritive
94,"Nexxus CF Nutritive
Serum"
95,Nexxus SH/CO/CT Emergencée
96,Nexxus SH/CO/CT Keraphix
97,Nexxus SH/CO/CT Frizz Defy
98,Bed Head SH/CO Re-energize
99,Bed Head SH/CO/CT Recovery
100,Bed Head SH/CO/CT Ressurection
101,Bed Head SH Dumb Blonde
102,Bed Head CO Dumb Blonde
103,Bed Head SH/CO Totally Beachin
104,Bed Head CW Calma Sutra
105,"Bed Head CF After Party
Creme Finalizador"
106,Bed Head CF Blow Out Creme de Brilho
107,"Bed Head CF Ego Boost
Protetor de Pontas"
108,"Bed Head CF Headrush
Spray de Brilho"
109,"Bed Head SH SECO Oh Bee Hive
Shampoo a Seco"
110,"Bed Head CF Straighten Out
Protetor Térmico"
111,"Bed Head SPRAY Get Twisted
Spray Anti-Frizz"
112,"Bed Head OLEO Screw It
Óleo em Gel"
113,"Bed Head CP Foxy Curls
Creme de Pentear"
114,"Bed Head CP On the Rebound
Creme de Pentear"
115,"Bed Head CF Foxy Curls
Mousse de Fixação"
116,"Bed Head CF Small Talk
Creme de Volume"
117,Bed Head SH Wise Up
118,Bed Head CO Clean Up
119,"Bed Head CF Pure Texture
Pomada Modeladora"
120,"Bed Head CF Matte Separation
Cera Maleável"
121,Força Vitamina SH/CO/CT Crespos
122,Força Vitamina SH/CO/CT Cacheados
123,Força Vitamina SH/CO/CT Ondulados
124,Força Vitamina SH/CO/CT Lisos
125,"Força Vitamina CF Brilho
CF"
126,"Força Vitamina CF Fortificante
CF"
127,"Força Vitamina CF Hidratante
CF"
128,"Força Vitamina CF Nutritiva
CF"
129,"Força Vitamina CF Regeneradora
CF"
